quality_group,word,n,pct,tf,idf,tf_idf
<= 3.0,beddingfield,10,0.004523474571287697,4.5234745712876974e-5,0.6931471805599453,3.135433645422675e-5
<= 3.0,nas,8,0.003618779657030158,3.618779657030158e-5,0.6931471805599453,2.5083469163381397e-5
<= 3.0,paged,8,0.003618779657030158,3.618779657030158e-5,0.6931471805599453,2.5083469163381397e-5
<= 3.0,graphology,7,0.0031664321999013887,3.1664321999013885e-05,0.6931471805599453,2.1948035517958726e-5
<= 3.0,schizophrenia,7,0.0031664321999013887,3.1664321999013885e-05,0.6931471805599453,2.1948035517958726e-5
<= 3.0,delony,6,0.0027140847427726184,2.7140847427726185e-5,0.6931471805599453,1.8812601872536048e-5
<= 3.0,ieah,6,0.0027140847427726184,2.7140847427726185e-5,0.6931471805599453,1.8812601872536048e-5
<= 3.0,jabari,6,0.0027140847427726184,2.7140847427726185e-5,0.6931471805599453,1.8812601872536048e-5
<= 3.0,las,6,0.0027140847427726184,2.7140847427726185e-5,0.6931471805599453,1.8812601872536048e-5
<= 3.0,provisional,6,0.0027140847427726184,2.7140847427726185e-5,0.6931471805599453,1.8812601872536048e-5
<= 3.0,tcnj,6,0.0027140847427726184,2.7140847427726185e-5,0.6931471805599453,1.8812601872536048e-5
<= 3.0,competences,5,0.0022617372856438486,2.2617372856438487e-5,0.6931471805599453,1.5677168227113374e-5
<= 3.0,cynthia,5,0.0022617372856438486,2.2617372856438487e-5,0.6931471805599453,1.5677168227113374e-5
<= 3.0,eeo,5,0.0022617372856438486,2.2617372856438487e-5,0.6931471805599453,1.5677168227113374e-5
<= 3.0,hons,5,0.0022617372856438486,2.2617372856438487e-5,0.6931471805599453,1.5677168227113374e-5
<= 3.0,rankingsandreviews,5,0.0022617372856438486,2.2617372856438487e-5,0.6931471805599453,1.5677168227113374e-5
<= 3.0,zachary,5,0.0022617372856438486,2.2617372856438487e-5,0.6931471805599453,1.5677168227113374e-5
<= 3.0,chennai,4,0.001809389828515079,1.809389828515079e-5,0.6931471805599453,1.2541734581690698e-5
<= 3.0,cloths,4,0.001809389828515079,1.809389828515079e-5,0.6931471805599453,1.2541734581690698e-5
<= 3.0,cnc,4,0.001809389828515079,1.809389828515079e-5,0.6931471805599453,1.2541734581690698e-5
> 3.0,roadmap,64,0.00650802011791719,6.50802011791719e-5,0.6931471805599453,4.5110157957617025e-5
> 3.0,pta,51,0.00518607853146526,5.18607853146526e-5,0.6931471805599453,3.594715712247607e-5
> 3.0,sonographers,46,0.00467763945975298,4.67763945975298e-5,0.6931471805599453,3.242292603203724e-5
> 3.0,enhancement,42,0.004270888202383156,4.2708882023831554e-5,0.6931471805599453,2.9603541159686172e-5
> 3.0,investigators,42,0.004270888202383156,4.2708882023831554e-5,0.6931471805599453,2.9603541159686172e-5
> 3.0,bolster,41,0.0041692003880407,4.1692003880406996e-5,0.6931471805599453,2.8898694941598408e-5
> 3.0,equips,41,0.0041692003880407,4.1692003880406996e-5,0.6931471805599453,2.8898694941598408e-5
> 3.0,trajectories,39,0.003965824759355787,3.965824759355787e-5,0.6931471805599453,2.7489002505422875e-5
> 3.0,collaborations,37,0.0037624491306708753,3.7624491306708754e-5,0.6931471805599453,2.6079310069247346e-5
> 3.0,abet,34,0.003457385687643507,3.457385687643507e-5,0.6931471805599453,2.3964771414984045e-5
> 3.0,paleontology,34,0.003457385687643507,3.457385687643507e-5,0.6931471805599453,2.3964771414984045e-5
> 3.0,strategically,34,0.003457385687643507,3.457385687643507e-5,0.6931471805599453,2.3964771414984045e-5
> 3.0,predictive,33,0.0033556978733010508,3.3556978733010505e-5,0.6931471805599453,2.3259925196896277e-5
> 3.0,faa,32,0.003254010058958595,3.254010058958595e-5,0.6931471805599453,2.2555078978808512e-5
> 3.0,astronomical,31,0.003152322244616139,3.152322244616139e-5,0.6931471805599453,2.1850232760720748e-5
> 3.0,dealership,31,0.003152322244616139,3.152322244616139e-5,0.6931471805599453,2.1850232760720748e-5
> 3.0,cfp,30,0.0030506344302736826,3.0506344302736826e-5,0.6931471805599453,2.114538654263298e-5
> 3.0,grasping,30,0.0030506344302736826,3.0506344302736826e-5,0.6931471805599453,2.114538654263298e-5
> 3.0,fossils,29,0.002948946615931226,2.9489466159312264e-5,0.6931471805599453,2.0440540324545215e-5
> 3.0,swat,29,0.002948946615931226,2.9489466159312264e-5,0.6931471805599453,2.0440540324545215e-5
